userid,count
1142462714024869888,9394
378171605,4606
1227253801,4069
122453931,3896
758859344561569792,3721
44425241,3705
1238679530769772545,2769
849455943893090304,2703
18839785,2651
220064033,2458
1291698471939047425,2443
746347445991374848,2099
1253584168589553664,2033
741899470997094400,1819
1311622751216562176,1791
471741741,1786
1210549333726154759,1729
4672844497,1718
1019210736348823552,1684
37396883,1583
320592813,1576
17537467,1555
2647058209,1504
1252924769969692672,1360
355989081,1320
982623741967417344,1285
811505937911517184,1253
14889248,1162
4843765218,1156
2427057066,1145
1323962901338574848,1120
1289236532151238657,1028
1568616944,1024
14159148,1015
1299906942,970
195575801,949
719962040320847872,876
769108935726997504,869
16404141,791
1095392641095745536,781
1026773693517754368,726
1235236053528637440,719
1251768861738688513,714
1447949844,694
1100302269570936832,683
26879671,670
4897595305,665
42606652,654
582941136,650
1161683884045586432,637
562189730,620
4672462093,606
768772780888317952,577
812707776342454272,573
177886974,573
1217466126382157826,571
1543482600,569
19897138,554
19929890,552
60489018,549
844136511079559168,533
851605079690027009,520
3150605153,518
1005902034,500
1681848613,500
242179803,487
2541363451,486
264681786,476
1262463006165917699,470
1346439824,457
1334601709,441
477678240,436
204931955,435
100945273,434
134758540,427
36327407,425
138822469,424
25784345,424
1347494586625609730,417
207809313,414
866711346661826561,411
811229675758505984,408
994081035313909761,399
231033118,398
67611162,395
1364792675757555712,392
830361808489832448,390
69231187,387
1056850669,386
178719304,386
249479338,386
1472101243,384
3059632987,382
31348594,372
2949111092,369
3069275310,365
2489431314,362
945877578962812929,355
830669077022531584,354
904959738756177920,349
1087217201231343617,347
768780363376328704,347
784705308832694272,346
3016185331,345
475630454,340
342034927,332
25073877,332
71201743,331
711760467383877632,329
1344203932025946112,328
179221949,328
1100927498,326
37034483,326
74980737,321
1168755761901494272,318
447728696,309
1240387129013948418,309
14700316,308
1426924755656101888,304
373854815,302
240649814,301
104835947,296
19190337,294
2358945534,293
756505518420660225,292
1042463598503763973,288
85462891,285
101215084,284
728205048208084993,283
165816067,278
812536950431191040,278
3066505255,271
796748232944586753,267
49616273,265
1273250719131332612,265
2945009600,265
2949110612,264
3437532637,263
116806870,262
772061179489378304,262
145125358,261
83435676,261
9624742,260
2211089653,260
1249976525400784896,259
832286179055792128,258
453507741,255
127483019,255
18730534,252
738402681677451265,247
335907019,247
3171712086,244
885487044243238912,244
461841349,240
2933823062,239
76220006,239
1270033021912133637,238
2421910728,238
17773946,238
535928664,237
1062742964,237
2886156700,235
60937837,235
2615743934,235
119451863,228
1190125276740472837,226
76294950,226
1354384093740371973,222
1368467810,219
1251704070,219
1269357541399695361,216
860834857902948352,216
83839889,215
61458407,213
783214,212
132385468,212
2337875256,211
1111118157941559297,210
1583865109,209
1195790505239621632,208
1488552899248795648,208
318673863,205
811972460560019456,204
577459091,204
742306410092990464,204
1488446396,203
1320350810,202
768379091926081536,201
1156489574,199
360327554,199
142598575,197
4834153242,195
194022170,194
213539531,191
2596143056,188
1209882188772020225,187
177547780,187
2733767939,185
1271697951677530118,183
512915759,182
622868850,181
113286385,181
1278740960919207937,181
6528432,180
1181441918779019264,180
1251852347568869377,179
1455559012079050767,177
1536286315,177
75246346,176
285280375,175
1012216687456743424,174
405427035,174
1260802427042684928,173
744823037480972288,172
3046490198,171
398602274,171
6509832,171
864059698550407169,167
33519870,167
948129852057518081,167
185142711,166
870366536,166
947144339326566402,166
1126720905466355714,165
1297448493645275136,165
2757023081,164
1148220633056026624,164
1082019003038461952,164
891234353874739201,164
10228272,163
3656938635,160
1184413966627299328,158
342228463,157
1180646292474777600,156
1367061212689616897,156
767345544901517314,155
120451801,154
1219805574302334977,153
1363001541385330688,152
17670329,152
75367781,152
1239351955790667776,152
75335950,152
92708272,151
1192446002973888513,150
1934388686,148
298959564,148
1324334436,148
63418566,148
1040146057093627904,147
245687754,147
1153045459,145
929622251812536320,145
1052462916,145
286613468,144
97217966,144
2944963998,144
1204754466475593728,144
612350383,143
21114659,142
111944435,142
29958928,142
1301479881138601985,142
716277987428044801,141
69579679,141
33584794,141
26424123,140
3057705345,140
2930935453,140
3241214268,140
1504507890098450439,140
38647512,138
2990611686,138
2452180361,138
1591102339,137
2373840733,137
1169829112489205761,137
1349149096909668363,136
74123918,136
1278739790813249536,136
1258324761504911361,135
1196683214,135
1356665249231896577,135
28175038,135
2992455768,135
18812572,135
2253142422,135
487538020,135
138340856,134
1159472459164209152,134
824893826066034688,134
1253243627075182592,134
1184825174123798528,133
885860011343261696,132
1349554973831401472,132
17137628,132
1257291383813128193,132
1063888454273110016,132
1183698123719200768,131
1142323835644993537,131
1304144493172658176,130
1265587380809072640,130
3125398481,130
185159449,129
2775998016,129
733470260,128
126536422,128
308667647,127
141633175,126
826723361543880704,125
49035671,125
158588740,125
54829997,124
442555794,124
1375416253,124
741562726288351232,124
968006620566507520,123
146360682,123
700605423,122
440706927,121
1243097244615593984,121
61805109,121
4603259056,120
19182845,120
56179192,120
817976607398731776,120
465711931,119
809408752747249665,119
1135626132097683457,119
26751288,118
799178390829838340,118
1255172430835838982,118
865185571,117
