userid,count
1167207379169136640,43
3617905574,23
1199140562131021824,14
1224560776213516288,4
10228272,1119
767501181409189889,9
1244890754993885186,25
1209130408778117120,10
255403033,288
1191804213598265344,23
1208626156519350272,61
1177461566565838850,26
1194248384665837573,13
1181074557970472961,195
1185862841900982272,12
1177230923789742080,1
1195376038941020161,3
521599552,2151
1186360629147459584,54
1080574527757828097,5
 335141638,269
374312811,2
 867449293199863815,20
1132125452871569409,12
1198376278656729091,10
1924766576,15
1241950485214453767,10
1183719204983398400,18
1179151749392805888,151
1232380731034415106,2
1188451686467227648,14
3142985599,17
1199148306326142976,30
1203723541172105218,5
2826933133,2
1204852233952800775,4
1491635275,48
1170075447469719552,20
1205284705936928768,131
1220472801351483392,6
1186428536183316480,2
148502049,54
1213193435655487488,11
1185953428595527681,4
240586768,3
35651912,75
890569045191278592,102
1202579035563462656,3
1227637339238944770,10
936204412908814336,5
1138692479270694913,21
 71758381,538
546241517,11
1181543569628319745,13
1166260647119618048,6
1244511181844381698,8
1239381771851988998,5
1239132683101405184,3
1231471694742786048,6
 1183900969542836225,21
1215064622836830208,11
1216737105180864517,1
1197572360469143552,13
1160441176836567040,1
 66651536,1
1239890269094502400,4
1189721752043237377,24
1060260394349027336,31
1233750599872602112,12
1220463713918033920,7
1188514619452743686,2
1177173709465051136,63
1207927162298339328,10
 1217577103308337159,2
1247474244994445312,7
1189845491263180800,60
 929352332957007872,35
 10228272,1554
1189390502174572544,11
3312870886,1
913719591204945920,1
1412111833,6
1224632450292178949,11
50393960,38
1234064824419700736,3
1215352888307933186,3
1267322862,22
173992307,4
1191829863856005120,9
1182420817273085952,1
2462404506,6
 879074440616722433,957
1196737585852354560,3
3233315127,24
1193482627380105216,6
1237487729186873345,9
20845447,10
1178145303511351296,18
1187234467158597632,18
1236758855037706244,10
1009882487286267905,1
 743375235307675648,1
1221259537057026048,5
1227649433308930048,23
1213557762665246720,20
774545274358210560,7
1174415857088434178,13
943744147525005312,3
1136107389914980352,1
 871276317169172481,104
1194426350624550912,2
1213703575936753664,9
970420431638466562,16
1184081481188233231,5
1235229005042855936,2
1198069527726022656,28
1213594637719310338,13
85603854,8
3339696861,14
1151290950049624064,1
1204333942859599872,5
37403371,33
1207407171698413569,16
1230098961609953281,2
1221337353123442690,1
1199011771295698946,17
211090679,25
1162037552167161856,1
1221700894833565698,7
 33933259,2
1182076964041089025,10
 1129082419175481344,2
1196647069810921472,1
1239546297561935872,25
1239881143081676806,5
 521599552,1533
 1199176940118130688,44
1237222767793037312,8
2790042071,19
1206748147382243329,1
259074538,1
74346358,18
924198797403500544,3
1237245398831337473,16
2557521,12
1203884890829283328,33
1150112129594331141,12
1201044487465820165,5
829646866274881536,27
486782537,22
 2415724386,60
1190910651578773504,3
1324370305,9
1239591012001099781,18
1224438268172726274,3
1183849487736987648,23
1133512419983187969,8
803079822889144320,3
 995265275481284608,3
 1048394541252993024,2
1230299610205147136,17
4466218514,23
99501796,8
1169546774144589825,9
 1183845924969287685,40
1207463906345656320,4
1220870201643798533,2
1212212095359438848,20
1189564856317497344,42
2658027322,7
 913327957904695297,7
1243357883544133634,5
