userid,count
1539062041,8
608977714,2
3119175854,162
308698895,2
2490348457,7
980564862,7
1636233757,3
541200099,2
 294725674,1
 267090518,78345
730684702189867008,241
533689869,25
1458136706,6
913973504,16
1651294172,125
2710813662,850
708333049889603584,63
2786029106,1
563091215,12
3033344713,433
619590622,2
2222919119,70
481248442,176
2844796185,140
327290386,15
532973947,40
3220128446,77
3067727482,217
533379163,83
242308175,1526
749099198,51
722902879,2
839537983,25
2167831703,643
3282653346,205
258448407,593
286665162,61
 286665162,15
558694279,22
1331806645,33
701054891,1732
428387135,38
2268510372,191
2318739827,3
275543089,5
887421260,139
544643715,4
302557552,1
1648367575,144
1370457428,44
2715887072,55
792095629,5
385754420,24
582867091,9
963273956,7
814184706086498304,919
487982300,109
1216606694,5
1660127274,19
2493465701,521
2492618978,938
1609325167,5
1586015388,3
1057354458,37
1026263492,283
1173144038,152
1092716538,251
595862775,399
2261396598,935
3107700570,88
2927817991,10
2461888113,5
2205904503,189
3117557493,420
791248028137058304,6
 2223111018,5
 816734536478445580,1189
1120032493,47
1512601136,122
747608798,148
2425076459,10
581025744,170
554911009,2
1974474931,73
327451495,42
473332007,150
1606095991,58
546993854,20
982468783,70
1540624921,53
938012021584314368,1
2977385581,11
2949593917,1
1444359444,16
883953290,24
1623332078,3421
715668376572588033,1
1855917042,1
363242130,90
1071156252,37
591185907,1
525795625,561
979524386,6
1887015956,9
3312362886,262
3068161151,25
1028321587,22
1056942360,102
806906922951655424,638
1014362551,2
772304892685721600,10
274492007,10
254675296,177
853155721,110
232161385,8
2327585151,8
611586089,912
986507772,1
628627147,4
912500174,4
2562188953,21
501019154,7
1618890025,188
618196414,9
620096613,4
2347191270,8
613959345,1460
339704710,1244
1604614806,55
301489169,13
622802830,5
437109660,44
469531579,74
1026070412,8
812331920658931713,46
532932306,13
535554613,772
3331138701,104
875550655238352897,8
497024774,21
502086236,9
 315153290,2
835924615,3000
2797805930,480
2785834105,354
355849931,7
398531479,1
2785239345,4
572608486,21
1746088556,10
1681577353,2
462305875,80
709127788,721
448277418,1
549541190,31
520145336,55
1326315086,117
2385280258,1
2207182090,17
864928663,16
2688264264,294
629340771,3
704835589,1
572067828,12
551031254,1580
763932936,279
2209372300,8
965085433,90
735103745621655553,234
1495670682,102
434429089,149
553636010,7
1644330920,2
2288182059,12
2318403813,1
601409407,11
605486730,20
714040247399669760,219
1217385366,1
721464268,788
2475857704,2
1882952448,2
1678696578,205
759630218768318464,258
940886000838103040,6
2150004130,5
10228272,3128
429676156,78
2908148004,1
2371339439,2
2897634260,34
