userid,count
10228272,30
1082182785501020160,64
998815271551827968,10
20586159,69
4013102233,55
 834243316233351169,8
 980807795464220672,113
925206827930763264,13
19059272,55
1877783624,94
1140138846207614976,2
559347269,3
65350312,6
1198583746074595329,1
 2446544586,15
274441361,7
 23619878,1
97442866,1
 1091223845946552320,3
 971024778730459136,36
 415590741,4
1146362824605618176,4
1214742430601187328,1692
1209015967008690176,7
68903832,3
2226851126,24
1464635180,3
1219935771378905089,1
2446544586,7
 1136450636415791104,2
273346147,8
963431373016129537,11
 1185594258738122752,4
1134677347825700864,1
2232426158,1
1213257390709075968,1
237612401,4
 64651853,15
287219102,2
 162430946,3
206539781,1
1094801997012688896,13
2923428150,11
209175125,2
 1174966304547016704,1
66123686,2
 49906316,19
931427996723961857,5
 1009733238330281985,18
832547220931108865,18
1205774669791428609,17
 1136977159765934080,10
1122715582938243073,4
1224159385590452226,2
102955197,1
 973836784084897792,1
1542002521,2
 1136225579202560000,39
2587365168,13
1225091006346825728,1
1220058534261346304,1
1009733238330281985,119
1121686512913928192,4
 256904057,4
 1107682709189611520,1
1115264869450649601,2
 892970007415541760,21
840933521585713152,2
 704901440792354816,12
2589215221,3
 1021061222345584641,19
1274413638,2
 919533848332869632,10
 1113299318188810240,12
 901120409872900099,14
2880729162,1
 3040810154,1
1063068009063841794,2
 1115855015657140224,6
778825074933497856,2
 2295769782,30
72322095,1
 1110099731643056128,2
64651853,10
2306748188,3
 394850348,36
583457729,6
 1021053276588978176,5
 62897660,2
 60575013,2
971024778730459136,88
66623777,4
 3799267579,8
 113415683,2
58219570,26
 850355083703275521,21
 10228272,10
 926428152687185920,2
 531458720,5
 1094835427431768064,11
 948448013210431488,5
 2923428150,9
 2327592780,15
4912566457,2
 1085036527325859841,18
 156691774,3
69644672,9
 287629297,16
 2455833230,1
59753837,1
 61995183,11
1040252793339240448,340
 229313308,10
1159383524505354240,112
99681027,10
1190628683268018176,23
279504575,5
 132565532,8
974248292874776576,10
1095283462045556736,1
244083955,3
65871931,10
 95174410,3
2452920259,3
3843447373,2
1000364309279522821,2
1202861273815216128,2
710334950071865345,1
91407171,1
3315676758,7
 234274515,10
996184938780155909,8
1136977159765934080,192
 878747800099409920,1
92531902,6
 919935068365135873,4
974499559056424960,15
1186420437258919936,6
 1122092474233581569,29
882146614218956800,2
18933712,2
 3379584499,1
 1203919961913090050,8
 66301173,1
 1040252793339240448,7
 1067817345060548608,1
 1156950089367035904,1
 1163301291067527168,1
 1146362824605618176,3
 1188724507432718336,1
 14093581,4
1101743775691358211,1
 66038149,18
1195955858246492160,4
 145574913,4
 191505183,7
1201397180990251013,2
 1206467004338556929,1
2294029646,54
1032266110723272704,1
 1176013969665847297,1
1163480836642988032,2
 1048106664929374208,17
1202780725772046336,6
 4119847693,3
 1174983643971801088,4
 86899675,6
 65314514,11
 15016766,5
 273346147,4
117772853,13
 2616800226,2
 181415330,9
 968067084369317888,6
 955790740159832064,1
345840402,4
 1050802507218268160,11
 37950212,4
213612447,2
 1191986743286751232,1
 1138987250530656257,1
 715916606,50
1171063205893832704,1
885922401808023552,1
 123907907,20
3226842193,10
906061083118510080,6
204758391,6
 149909321,8
1018119076516749312,9
237770028,30
1095187912323358720,8
1203261337624690689,7
99956119,2
 1542865891,18
959592415781822465,3
64358426,9
1136225579202560000,6
1542865891,6
 832547220931108865,8
1048718120376926208,12
1245690818179911680,30
1180560555657986048,2
 2694489102,3
1033761497837580288,1
1153352547865788416,7
 876336274910494720,1
 1201708186194997249,1
3270584419,2
 396414373,1
724751034111778816,2
73055296,2
 1184652148610498560,1
75189063,3
4711233222,208
16299067,1
 50257835,30
1412712248,12
 199992361,27
3309484274,28
1019882242414325761,15
900912271966089216,1
 1129680824847048704,19
 788472458,17
 1094195233187745792,5
 832059191359516674,10
83321317,3
840548226394595329,1
1198468991116697601,2
 375409917,2
 974956260574416897,2
 1159025486929879040,2
 72235036,3
1152518679231254528,1
1156950089367035904,54
 1018119076516749312,1
1122092474233581569,19
272983396,4
884354744881356802,2
 1708706017,18
1094835427431768064,13
735448052031361025,212
919938027106865153,1
 1093807114617679872,35
65314514,242
 25802588,29
919935068365135873,43
711222107363934208,1
874643354,5
 1054672708661723137,8
1069231665145249792,1
 4711233222,2
57832421,7
1185895591139635200,1
 1133757109361758210,6
103668879,5
 1743765402,1
1189475085641347072,4
2551822080,12
1212591967080574977,250
1201400953024303104,3
 1203258433257922560,1
1073602689286766592,2
1220387537702666240,3
463837813,3
2616800226,12
 2665447087,2
24871506,30
1157947344169472003,2
 1291053752,6
 58757348,1
 104794323,1
1048106664929374208,15
 1154312647321329666,3
1107682709189611520,3
 213533791,1
2963637435,6
315615561,7
 1148261864725311488,1
 963367267940540427,1
2886228103,3
 131098084,3
107635564,16
2694489102,40
2564675461,38
 1013345393856282625,17
1195202587915538433,4
86658130,4
135841357,2
 2306748188,1
258991716,9
 554918064,2
1169066596410609664,1
 266545852,1
267243786,908
92222661,134
61553631,4
39515109,1
1011994706987737088,3
509732599,3
15016766,20
932114879850332161,7
 1018482744207147008,24
 1212591967080574977,26
497004701,2
 213612447,1
63380662,5
80747501,1
754869667999522817,1
2406876248,1
1080000870987649024,9
37950212,432
1197422588185567232,2
885042838941175811,16
1203927093790179328,3
403102905,2
892970007415541760,7
999674169892552705,8
12425692,6
1203349922180825088,3
 417789913,2
955092794250416128,1
 1000364309279522821,3
 1098887750692921344,2
 2995702326,3
722291231309430784,1
 185747014,7
1087021450144305153,1
1119480011981856769,1
101177096,3
736382087763107840,6
968362230214520833,2
968067084369317888,13
1020168595307819008,9
936808277639180294,1
1073786493775228930,2
 740906374549274636,12
234766955,1
1208713584366084096,1
448161711,16
145931392,18
1006375442,5
55857071,24
896778691954434048,1
740906374549274636,4
146902625,2
 237770028,3
1091362173459214337,41
1116610214965334016,15
3233087359,1
86900426,3
 1007678836589264896,2
1095840339699499013,9
372795992,1
72235036,2
 1095840339699499013,4
23922797,1
 1086087914105106432,1
911963977277521921,1
 53864669,10
1121682547652513792,162
1206167575832354818,3
1013345393856282625,40
4234718431,5
934026709413675008,2
146286258,8
 1125250028723814400,3
 848006445840818176,1
777534658540036096,1
 1122128507767668737,1
 729291120484581376,1
 1170957254209617922,3
1174983643971801088,6
906903605294252032,5
1191205621770539009,1
 583457729,7
207003935,1
 2399378594,2
 1012174544163954688,2
1218032339596398592,2
 138726107,16
 583857653,1
1106481706951823360,1
 365473179,1
1215128651055820800,1
 1178126190,1
 61760897,4
77870937,2
385841337,1
 2524556089,3
63366677,58
980807795464220672,153
1203162559353765891,216
149909321,25
 830934954,2
 1134677347825700864,5
891577570054950913,25
3799267579,43
 90140131,2
77701880,1
106324785,28
 1058339228143169536,1
15082180,2
 43348550,15
1206994553930055680,3
583447601,37
303062326,2
1221425269392560129,1
1202783012670169088,3
1098887750692921344,14
6085812,3
1183549252976300033,1
834243316233351169,154
1136450636415791104,1
 1195202587915538433,3
1179791538689212416,15
757426455420645377,10
 264608882,10
1166526163855925248,1
89655358,3
 53380876,1
238488874,38
1054672708661723137,166
217869888,1
1115855015657140224,5
456651680,1
804322668950360064,1
 1162013091833364480,2
172215677,2
167306817,6
418138844,1
892353430362112000,2
1112265686963769345,1
2801598835,1
1109717872522125312,2
 267243786,13
1191167701109993472,1
1221856220174139393,1
 101193076,1
1326163814,2
 2471357414,7
2477011356,1
1202933904916639746,11
 1209330189886353408,2
256904057,29
1161283703831695360,1
 4013102233,4
359955132,14
116141566,10
34507480,5
67805213,1
1134645062019604481,3
1213914227611619328,4
2465939028,1
901120409872900099,11
23619878,19
 1169981522738200576,2
 83445108,1
75972047,9
873808945235714048,1
1026141870399713281,12
853234610771185664,2
1031834639600472064,1
1203940848167047170,44
1212550816747245569,6
105560125,27
321399955,3
1048769093841477632,1
789487783484108800,2
 1220545978832285696,2
 236698155,2
2668292330,25
1196284294282412037,139
1123223466293862401,1
1082191418062303232,7
84308740,1
1043679201029550080,2
1202804379419430912,4
2471357414,6
91172195,4
1209016973675253760,105
543585435,3
69601558,1
1743765402,3
807423263022272512,2
952592932091060224,1
12967962,2
362986690,1
3275069460,1
325417766,3
1219178276574261248,2
361098756,4
1138035337584713729,1
 60024721,1
963792378250211328,1
 1196895040703909888,1
