can_name_clean,politician_twitterid,followed_by_dict,retweet_count_dict,mentioned_count_dict
ABDUL AZEEZ BIN ABDUL RAHIM,581542131,{'TMRC15_APAC_3.csv': 1},,
ANNUAR BIN MUSA,273993462,{'TMRC15_APAC_3.csv': 1},,
DATUK SERI DR ADHAM BIN BABA,1237290918547353600,{'TMRC15_APAC_3.csv': 1},,
DATUK SERI MOHD SHAFIE BIN APDAL,262438873,{'TMRC15_APAC_3.csv': 15},,
DR MAHATHIR BIN MOHAMAD,2974181588,{'TMRC14_APAC_2.csv': 1},,
HAJI MOHD ALI BIN HAJI MOHD RUSTAM,65868529,{'TMRC15_APAC_3.csv': 6},,
HISHAMMUDDIN BIN DATUK HUSSEIN,132630648,{'TMRC15_APAC_3.csv': 63},,
ISMAIL SABRI YAAKOB,150566521,{'TMRC15_APAC_3.csv': 1},,
KHAIRY JAMALUDDIN ABU BAKAR,18901882,{'TMRC15_APAC_3.csv': 17},,
LIM KIT SIANG,15142076,{'TMRC15_APAC_3.csv': 1},,
MARKIMAN KOBIRAN,368963577,{'TMRC15_APAC_3.csv': 13},,
MOHAMMAD NAJIB BIN TUN ABDUL RAZAK,16389180,{'TMRC15_APAC_3.csv': 59},,
MUHYIDDIN MOHD YASSIN,274322871,{'TMRC15_APAC_3.csv': 54},,
MUKHRIZ MAHATHIR,48193998,{'TMRC15_APAC_3.csv': 6},,
MUSTAPA BIN MOHAMED,320586777,{'TMRC15_APAC_3.csv': 16},,
NOH OMAR,48985494,{'TMRC15_APAC_3.csv': 15},,
NURUL IZZAH BINTI ANWAR,52584545,{'TMRC15_APAC_3.csv': 1},,
ONG KIAN MING,39650205,{'TMRC15_APAC_3.csv': 1},,
RAIS YATIM  MAT RAIS BIN JATIN  YATIM,118380713,{'TMRC15_APAC_3.csv': 15},,
RAZALI IBRAHIM,27825927,{'TMRC15_APAC_3.csv': 15},,
SHAHRIZAT ABDUL JALIL,138689926,{'TMRC15_APAC_3.csv': 18},,
SYED SADDIQ,467075090,{'TMRC14_APAC_2.csv': 1},,
WAN AZIZAH BINTI WAN ISMAIL,194840130,{'TMRC15_APAC_3.csv': 2},,
