"","can_name_clean","yr","cst_n","cst","pty_n","party_code","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"1","A HELMY FAISHAL ZAINI",2009,"Jawa Barat VIII",22,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a","1550812608","https://www.facebook.com/ahmadhelmyfaishalzaini",1,1
"2","A RISKI SADIG",2009,"Jawa Timur V",41,"PARTAI AMANAT NASIONAL",5,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","131471462","https://www.facebook.com/arizkisadig",0,1
"3","AAN ROHANAH M AG",2009,"Jawa Barat VII",21,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","2189937558","NA",0,0
"4","ABD JAWAS GANI SH",2009,"Sulawesi Barat",64,"PARTAI AMANAT NASIONAL",5,0,"n/a",NA,"NA",0,0
"5","ABDUL HAKIM GARUDA NUSANTARA",2009,"Bengkulu",8,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a",NA,"NA",0,0
"6","ABDUL HAMID WAHID M AG",2009,"Jawa Timur III",38,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","26211906","NA",0,1
"7","ABDUL KHARIS SE MSI AKT",2009,"Jawa Tengah II",27,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","1543431608","https://www.facebook.com/kharissahabat",1,1
"8","ABDUL MALIK HARAMAIN M SI",2009,"Jawa Timur II",37,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","884618097927241728","NA; https://www.facebook.com/h.abdulmalikharamain",1,0
"9","ABDUL WACHID",2009,"Jawa Tengah II",27,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)",NA,"https://www.facebook.com/Sedulurwachid",1,0
"10","ABID TAKALAMINGAN S SOS",2009,"Sulawesi Utara",70,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","1964121714","NA",0,0
"11","ABOE BAKAR SE",2009,"Kalimantan Selatan I",48,"PARTAI KEADILAN SEJAHTERA",25,1,"n/a","185544654","https://www.facebook.com/AboeBakarAlHabsyi",1,1
"12","ACHMAD BASARAH",2009,"Jawa Timur III",38,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)",NA,"NA",0,0
"13","ACHMAD DIMYATI N  SH MH M SI",2009,"Banten I",5,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"From 2009-2013 Commission III (Law and Legislation, Human Rights, and Security Affairs); 2013-2014 Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)",NA,"NA",0,0
"14","ACHMAD FARIAL H",2009,"Jawa Barat IX",18,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","57414172","NA",0,0
"15","ACHMAD HAFISZ TOHIR",2009,"Sumatera Selatan I",73,"PARTAI AMANAT NASIONAL",5,0,"n/a","834315403505627008","NA; https://www.facebook.com/ahtcenter",0,1
"16","ACHMAD RILYADI E",2009,"DKI Jakarta III",12,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","373793808","NA",0,1
"17","ACHSANUL QOSASI",2009,"Jawa Timur XI",46,"DEMOKRAT",9,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","248509197","NA",0,1
"18","ADI PUTRA DARMAWAN TAHIR",2009,"Nusa Tenggara Barat",57,"GOLKAR",8,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"NA",0,0
"19","ADI SUKEMI ST MM",2009,"Riau II",63,"GOLKAR",8,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)",NA,"https://www.facebook.com/Adi-Sukemi-ST-MM-110341470434834; NA",0,0
"20","ADISATRYA SURYO SULISTO",2009,"Jawa Tengah VII",33,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"NA",0,0
"21","ADITYA ANUGRAH MOHA S KED",2009,"Sulawesi Utara",70,"GOLKAR",8,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","710672212823511040","https://www.facebook.com/DPR.RI.A309.FPG",0,0
"22","ADIYAMAN AMIR SAPUTRA SIP",2009,"Banten II",6,"DEMOKRAT",9,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)",NA,"NA",0,0
"23","AGOES POERNOMO SIP",2009,"Daerah Istimewa Yogyakarta",9,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)",NA,"NA",0,0
