"","can_name_clean","yr","sub","cst_n","cst","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"1","A GHANI BIN OTHMAN",2013,"JOHOR","DISTRICT 162 (GELANG PATAH)",162,"BARISAN NASIONAL",0,"none",NA,"https://www.facebook.com/AbdulGhaniOthmanGP",0,0
"2","A KOHILAN PILLAY A L G APPU",2013,"SELANGOR","DISTRICT 103 (PUCHONG)",103,"BARISAN NASIONAL",0,"none","628320254","NA",0,0
"3","A PRAKASH RAO",2018,"SELANGOR","DISTRICT 107 (SUNGAI BULOH)",107,"BARISAN NASIONAL",0,"none",NA,"https://www.facebook.com/P107-Subang-181963618621344",0,0
"4","A RAHMAN BIN A HAMID",2018,"JOHOR","DISTRICT 154 (MERSING)",154,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA",0,0
"5","AB AZIZ BIN ABDULLAH",2018,"JOHOR","DISTRICT 159 (PASIR GUDANG)",159,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/AbazizPG; NA",1,0
"6","AB AZIZ BIN KAPRAWI",2013,"JOHOR","DISTRICT 149 (SRI GADING)",149,"BARISAN NASIONAL",1,"Deputy Minister of Transport","612783144","https://www.facebook.com/AbAzizKaprawi",1,1
"7","AB AZIZ BIN KAPRAWI",2018,"JOHOR","DISTRICT 149 (SRI GADING)",149,"BARISAN NASIONAL",0,"none","612783144","https://www.facebook.com/AbAzizKaprawi",1,1
"8","ABANG AHMAD BIN ABANG SUNI",2018,"SARAWAK","DISTRICT 204 (BETONG)",204,"BEBAS",0,"none",NA,"NA",0,0
"9","ABANG AHMAD KERDEE BIN ABANG MASAGUS",2013,"SARAWAK","DISTRICT 197 (KOTA SAMARAHAN)",197,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"NA; https://www.facebook.com/AbangKerdee",0,0
"10","ABD ALIM SHAPIE",2018,"MELAKA","DISTRICT 139 (JASIN)",139,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/Hj-Abd-Alim-Shapie-869732049846458",1,0
"11","ABD AZIZ BIN SHEIKH FADZIR",2008,"KEDAH","DISTRICT 018 (KULIM BANDAR BAHARU)",18,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none",NA,"https://www.facebook.com/DatoAbdAzizSheikhFadir",1,0
"12","ABD AZIZ BIN SHEIKH FADZIR",2013,"KEDAH","DISTRICT 018 (KULIM-BANDAR BAHARU)",18,"BARISAN NASIONAL",1,"none",NA,"https://www.facebook.com/DatoAbdAzizSheikhFadir",1,0
"13","ABD GHANI BIN AHMAD",2018,"KEDAH","DISTRICT 005 (JERLUN)",5,"PARTI ISLAM SE MALAYSIA",0,"none",NA,"https://www.facebook.com/ustazdrdhaniahmad",0,0
"14","ABD KHALID BIN IBRAHIM",2008,"F.T. KUALA LUMPUR (W.P. KUALA LUMPUR)","DISTRICT 124 (BANDAR TUN RAZAK)",124,"ALTERNATIVE FRONT (PEOPLE'S ALLIANCE-PEOPLE'S JUSTICE PARTY)",1,"none","36273365","NA",0,1
"15","ABD KHALID BIN IBRAHIM",2013,"W.P. KUALA LUMPUR","DISTRICT 124 (BANDAR TUN RAZAK)",124,"PARTI KEADILAN RAKYAT",1,"none","36273365","NA",0,1
"16","ABDUL AZEEZ BIN ABDUL RAHIM",2008,"KEDAH","DISTRICT 016 (BALING)",16,"NATIONAL FRONT-UNITED MALAYS NATIONAL ORGANIZATION",0,"none","581542131","https://www.facebook.com/AzeezRahim",1,1
