"","can_name_clean","yr","cst","cst_n","sub","pty_n","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"1","ABAD DINA",2016,19,"BATANES","REGION II","LP",1,NA,NA,NA,0,0
"2","ABAD FLORENCIO",2019,19,"BATANES","REGION II","LP",0,"Secretary of Dept. of Budget and Management (2010 - 2016), Secretary of Education (2004 - 2005), Secretary of Agrarian Reform (1989 - 1990)",NA,"NA",0,0
"3","ABAD HENEDINA R",2010,19,"BATANES","REGION II","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,NA,0,0
"4","ABAD HENEDINA RAZON",2013,19,"BATANES","II","PARTIDO LIBERAL NG PILIPINAS",1,NA,NA,NA,0,0
"5","ABAD NICK",2016,19,"BATANES","REGION II","UNA",0,NA,NA,"NA",0,0
"6","ABADIANO EDGAR V",2010,75,"CEBU CITY (CAPITAL) 2","REGION VII","INDEPENDENT",0,NA,NA,NA,0,0
"7","ABANTE BIENVENIDO JR M",2010,87,"CITY OF MANILA 6","NATIONAL CAPITAL REGION","LAKAS-KABALIKAT NG MALAYANG PILIPINO-DEMOKRATIKONG KRISTIYANO AT MUSLIM",0,NA,"112695660","https://www.facebook.com/BennyAbante",1,1
"8","ABANTE BIENVENIDO JR M",2013,87,"CITY OF MANILA 6","NCR - FIRST DISTRICT","UNA",0,NA,"112695660","https://www.facebook.com/BennyAbante",1,1
"9","ABANTE BIENVENIDO JR M",2016,87,"CITY OF MANILA 6","NATIONAL¬†CAPITAL¬†REGION","AM",0,NA,"112695660","https://www.facebook.com/BennyAbante",1,1
"10","ABANTE BIENVENIDO JR M",2019,87,"CITY OF MANILA 6","NATIONAL CAPITAL REGION","NUP-ASENSO",1,NA,"112695660","https://www.facebook.com/BennyAbante",1,1
"11","ABAO BENROME S",2010,179,"ORIENTAL MINDORO 2","REGION IV-B","INDEPENDENT",0,NA,"782760836","NA",0,0
"12","ABAYA BOYBLUE",2016,59,"CAVITE 1","REGION IV-A","LP",1,NA,NA,"NA; https://www.facebook.com/Francis-Gerald-A-Abaya-906937746071004; https://www.facebook.com/BoyBlueAguinaldoAbaya",0,0
"13","ABAYA BOYBLUE",2019,59,"CAVITE 1","REGION IV-A","LP",1,NA,NA,"NA; https://www.facebook.com/Francis-Gerald-A-Abaya-906937746071004; https://www.facebook.com/BoyBlueAguinaldoAbaya",0,0
