userid,count
1260881050005315586,11770
1222894323152195586,7872
1425376680051314693,4544
995265275481284608,2512
884564341143461888,1826
1183698123719200768,1431
141627220,1356
1223280881537814528,1132
1187372311604858882,918
1210415181970300928,838
1427842216676974592,738
1169509456700465153,654
1509419388881063937,636
1199969351786532865,587
1183694592433983489,583
1517890709608669185,560
1228282983540457472,538
1136197682056388608,517
1438851249735041037,515
387352636,484
88702710,473
49616273,458
1393281769181532162,452
3910925474,451
1433745612537741318,450
18091004,431
1219214266521096193,422
1241301048029052928,378
2697945751,361
43061739,360
1515889113425088519,335
1519583301689745408,331
1248855864544342017,325
1197017532365803520,323
1367667738877988864,322
1297457829658284032,318
952820189191536641,308
1498657322670833668,304
23499976,301
1417236433878884352,298
715072364094955521,297
902839045356744704,296
36912627,286
487118986,285
18831926,281
119804910,279
1317542570843688960,274
96951800,272
1284037838066061313,271
4359648797,260
1331032772429946885,246
1357608414516375554,240
1077993061135933440,237
1167303027503403008,232
1517345116171960321,227
87775422,224
1014815646431903744,221
110183325,213
1181936905820266496,203
1433251288699916292,199
747169298,197
963887779628376064,197
65172298,191
1174953152832868355,190
837839999915610112,189
1392094167522742272,182
1400363969043329028,171
19899980,169
19923144,166
1498576737155928067,166
1239144167684501506,165
19583545,163
2557521,158
4863225432,153
1186556215767252992,152
1531801543,151
2365896248,151
374752807,151
1233144962583343105,150
176276685,150
67340282,146
1402156691186241538,143
1064317162028822528,141
2775998016,140
1336690076550512640,140
343627165,136
303862998,134
852269288,133
22910295,131
1305724308254121984,130
558797310,130
1492125898497302531,129
15704681,128
1404933060877979648,126
1111455624611532805,126
1355424644866576387,125
951015428,123
1429758799473254400,120
2371236086,118
1228297106571644928,117
1515871999305805826,115
1424619313,114
764011909725040640,111
1317199442777415681,110
108568373,110
1514087047245443075,109
465698190,106
2905320163,106
4236451217,104
97508624,103
1359088460871520258,102
1458621335496757253,101
1234796463026298882,100
1487033305497313285,100
1346883201218842632,97
1256539419303186432,96
1509779013166055424,95
3319804777,94
1155845777039810560,94
1222830618247147520,94
1286609440179761152,93
3881228474,93
1428632698084634626,93
1268144739997503493,92
