userid,twitterid
994765989144289280,halupulisi
1326812406304137217,Ocean24x7
1358469122770653184,mdxtnn
26970305,radenrauf
1422951168,FiersaBesari
1087656770040786944,recehtapisayng
1172167188800655360,kegblgnunfaedh
439164730,dsuperboy
108239955,BimaAryaS
309025729,willsarana
1201743586837942272,ini_raaaa
1316441034117718016,txtdarigajelas
1162341123915829250,indriphueng
770128892,bintangemon
1290506231547703298,Dzaenatun
1224493991342641155,avrliie
1293039863197863937,hndykrnwan
1245999142272294912,AndreYlnt
1854306900,dwikimic
1057485316498567169,SafiraMutiya
1043820778519580672,JeromePolin
3366506832,icecreamstoberi
1069456105212760064,adityajuliannn
356190068,aulmaulidiana
1346690862382661637,TaniaPtrri01
1352495333255770112,Liamalia111
1268469409338626053,MUTUALANDFESS
1353556241356742658,FriciliaMutiara
84826389,Khofifah
1349571382623916034,YantaDiva
1346682807779696641,YunitaAyyuuu1
1341220848103903232,NamiraAurelia6
253418739,KhofifahIP
1341215792751243265,AniisaSalsabil4
1386539542228836355,ClaristaDhea1
1394661166803128322,farhanarez
1281182825392164864,DisneyPlusID
1394622186174902279,ras_ahmd
1391390495100661765,RizkiDaniar1
-1,YnrlJ08
1112870716007829504,bukaanpermen
1127829328950059008,ianhugen
1137380404162207744,Dustywood
1340977211440918528,GethaNandea
1348524973032263681,NurulAmliaa01
1348584779889795077,Hanifahptrrri
1341245214132817926,SelviPutrrrr
1341218644915699713,Nirmalaayyay
1341235119089053696,AnitaFivi
1340967859615195136,LailaAyayyy
1343761013800226816,KamilaAzahra15
1341638610810929152,AstriAmndaa
1348834589746229251,ShintaB08416904
1346337655852654592,YunitaLaras7
1369320384068284420,ZahraSalssa
1347075805344514048,ErniAulia10
1362656274169561094,JesicaPramanda
51604405,ArditErwandha
2739799937,inikanAyoga
886934161,andihiyat
1295148588985487361,notyourfavoo
1269924896915640321,jjaenuna
1236611814328156160,Fia1412
1366980028341178375,rvhnx
1196980156629307392,cyd0hcluv
1331055326313910278,majeclub
1435245581639643137,abunjamilo
1292283825385377792,merryggugi
1211650297342251008,milkysmelon
1390397795132088320,whorve
1350748170796498947,markensitii
1274571645714264072,NadiLee04
805931802837729280,nanik_lisniati
1323211835890266112,teuloveabl
1280386217285042177,kiwiupfoll
1359390937047134216,GalangSusanto4
1232179154017120257,hambarrr_
1670052086,nanirigby
1255189392500551680,MUTUALANDFESS1
1352469394991902723,fiona_shelly
1351824151493763073,IlhamKrisnanto
1351799856667389955,NicolasSetiaw11
1314412048772595714,ArumSek99754448
1352172740044681217,ArfanAsyrafi
1303955090617769984,ArandraFitri
1367509575075733510,AisyahPtrryy
1358613603532816397,SSalmafina
1351748349150466051,AprisilyaVina
1309437839806001153,VanilaWulandari
1310481112834207745,ZaskiaWulanda13
1310458268079325186,HanifahRusda
1310453245417000960,NabilaZaskiah
1353580700142768128,CLesatri
1303957623335604224,RahmaAl09499533
231377311,dftysptrdw
1318571151753314304,sunflowrsca
1241937619195269120,svnfflowaa
1252582110168117248,yourbabygiurll
1250521305436139520,ddoyoungh
1396715941493313536,yourneedapps
1450028526992707591,sayngtitik
1249392586483281922,peoplepilihan
1298908543618183169,FWBESS
1450370475368935428,donalbobok1
1295423406075023360,altertimebase
1244625046246572033,IAfzalurrahman
1099611429311660032,cimotyy
1382997018331602944,rosyceae
1433440397393494022,keimsse
857752873,LUNERPW
1386684961449672706,mulaitersesat
1450061950176530440,fxanantaa
1291536463914442752,neosfuture
1311209785308536843,beargyu05
4187102064,uncmenfess2
1450808008401768454,shyakedua
76852807,aw_asp5464
130175415,chahawhaw
938927021631012864,milkteanata
985324516359286784,mner_o002
1282586485741387776,ciutama
1432568651605942274,loaffsxiaoting
1317436802802667521,chrysant_tiger
1430081610859225095,onyour__lee
1352925874878705664,beamessages
1378318461999345674,kakuchocs
1175607536738693120,RHYUJl
1412774650652676098,ZachCruise_
1451022319283892226,arabella0716
1287001674901413888,fffancyyy
1335189604232699904,blackregulusss
1413865795302555653,jekeylins
1430321565036519425,austintl
1307467667570216961,junkyukuala
1280673340126945280,ayhate2loveu
1427069487405174786,SptYamin
1354306379402465282,Gakpakainamaku
1429360705631703049,Dhitkall
2399756095,AnnisaDjali
433088465,ArisaMorishita_
1421719601436450816,simp400s
1440516456580468743,sweetjelliess
543324861,WinBreez_
1297071267216945153,nyevat
1455567603384995846,peachyyjiinn
1397560321334603785,PresentFuck
2446683408,hahaapaansih
1499174768183951361,ikan_akukan
1422183556755775491,yellowwiinx_
1392536258014900226,jupitermoonjinn
1337308835468386304,jaemcityx
1350836765225963520,kiayaya14
996923173823102976,winter_vkook
1447088548364972037,jeamauambiss
1321656942847168514,chxchimmy
1326710366479396864,rocknight_
1411257208772300800,icatkzume
1242377910859657216,bbygives
1447465315974086666,phicacaa
1356303467833290752,sakkerhets
1129177076462788608,yamgeppie
