userid,twitterid
206027550,['nessniven']
898517260033290240,['2VB3DcLYobExE3v']
620912741,['qujianming1']
791015242448850945,['klausv02']
769790067183190016,['SamanthxBerg']
902777994829336576,['gHk39king']
898581276063617025,['y6Hcuj97hRQd9gl']
1084444722,['nurlanyc5sr']
761109495187513344,['SheldonxLill']
910296636294877184,['xiaolaoshubai']
902806427995172865,['cUiIRrOVbn2Ripa']
34649696,['kaiking89']
718766229700227072,['RanvijaySowle']
920467059175124992,['Gregory22A']
902779178180890626,['HRiB831Jam']
760761981854883840,['honyBurchr']
1085775014270459906,['bronte_megan']
3388184553,['lacy6ysjodin']
912171517076807680,['oksananikolenk5']
747309343624704000,['kotovaninel89']
4057984825,['baillopud5']
910162184772059136,['ailaiyi1']
918004985513705473,['Davio91Guerl']
788221364,['zhangbide9600']
926731550313480192,['yszdian']
2705083230,['12muchum']
1017843752147222530,['masminge']
747356042246291456,['tattazueva2']
2329240622,['kristinaeug5kor']
828817384827875330,['vdfxvgcvd8']
902783488335732736,['MUMbfg2UOiHGWFB']
747323508741464065,['cvetkovarmen83']
924256012336533506,['ekateri55584212']
902440340136873984,['bavykinanat']
902779271575429120,['JqxGxKDJNKdylRy']
902780388539592704,['PC41NYsPXh17Aja']
902819892734414848,['epKWN0bJmNrUZ6u']
930592773668945920,['JonesJones4780']
60885114,['exkaopreso']
747100215983890432,['fedorovenei90']
902806676843180032,['MT3IeF33NTe0Fzu']
898516997390184448,['jCyz0AN1bLHaLM4']
919179532313149440,['alibuda12']
902782176579784704,['ssllJSgGuvkZr8n']
902783997138264064,['3O8i2fjGNZsh3o5']
902819632008048640,['fjnIhWD9hofdAsF']
1268574649,['bankyecna']
26795603,['camirtme']
918710134095757312,['asdrrtt2']
898930570423676928,['liutaodiandian']
908202695294455810,['Jf29625902']
14797528,['ilmirachehen']
898584637546663937,['x8KLy7wO3JssHGO']
917200080008040448,['vladimirgaliev7']
1017844133841469441,['evologer']
902779689026162688,['xbF2yBW8Ng20DsS']
898582384295247875,['TagebspEVsGcOkT']
902782947736129536,['98M8rtGGpWsUhSk']
983557263251165185,['Anderso_baby']
1085770233774632960,['BridgetJim4']
919811364972929026,['moli578moli1']
898585306429108226,['te8YU6U69Fd39y0']
918002856128479232,['Daviu81Guero']
930584473816543232,['smith_smith4295']
1017843655938277376,['gaoshanliuhua']
4004836276,['arlettemijhs']
962618763920199680,['Anabella2752']
1017843419438297088,['bentropu']
902818072947556352,['dw2HzD9ZFhg0ZcX']
898580223389822976,['2dS4fpaB6ShSNFj']
918846211552972800,['qwtyfgjk']
902780366599094273,['OoYmu466']
898510883181252608,['zChyQXXq1eSlYGA']
898515383849799681,['q8kN0PaLhPQAxYH']
928157034503012352,['Pearl60707608']
4641907046,['na24896406206']
902781885327265792,['rbdF6wkwEAl5DwE']
902800362528276480,['XFcbHS2pWXhDffX']
902783630526832640,['J02T8G3CnNTTc2O']
917093802288009221,['galina_omsk6166']
898928661411266560,['bfghek']
747311068913905666,['bobylevamaina']
917653631377092609,['wangzhesu123']
898928405911134208,['asdfggthrt']
2160511326,['GameLootHispano']
179047236,['vezerullasav158']
920093586904924161,['Yobev81Bohej']
747289213192679424,['vergiliiveselo1']
360353820,['BoswinkSyri00']
918531495781859328,['OLyuminarskaya4']
747310789099290624,['revmirsemenov']
747274556994392064,['fommying']
898516710323613696,['EMKqAIytqvfKRGi']
270363400,['Resilceale']
4130978244,['feikebeiqiaoshi']
920162954976272385,['zhongqiuyue1232']
920259770736451584,['Lund73530686']
533748701,['24hcloud']
902782984079761408,['Skkj8hZfRl8IJ20']
902783079739252736,['eEUViZPDTh19fhn']
1088703097059172352,['HkMJulian']
898515550376218624,['7dK3VhzuNIRJqCY']
898580467208912897,['7U1hdb3u5AhKNZa']
1278702812,['ujyygfvhk']
2273361559,['1ertyufgh']
915089404183568384,['fdvsgxgs']
1057565460328275968,['HHbvgfz']
2183572245,['vickykrish09']
898582504860463105,['8ETjANDquIFFB0b']
902782608848953344,['uLVe9e2VX4tWMKY']
921018295108616192,['weixiao80107054']
902781795304865794,['eCoooXfr2oxGjyy']
325321363,['shjabzgallup']
902781358757605379,['qXiKTyu8qrXg9f7']
902780986617978880,['JjL3gNyG9YNLa7m']
902780759253164034,['jiajiashijiajia']
902830524481363969,['oDrjiwIOmq09XaZ']
898577922260430848,['RG4ax0bBuN19XZb']
1017841240597905408,['Oq6wF9GPScFsbip']
926756318945402880,['Jensen1509James']
1057571532074037248,['Fgavzl']
924416938775805952,['zhoraromanov101']
983568071179644933,['Justin19950203']
747352304022495232,['kriskentiipest1']
902780404469555200,['h6AnzpEej3mBy15']
898519011440431108,['xK1gX8eiQMFwQ9w']
2457206888,['wangduoyu121']
902783097233690624,['J9wpZlPBMT0oEAJ']
1297715425,['PonceneqFelicit']
920541688551981056,['zhangweiting4']
902806393241169920,['q0A4ADBmKv9FvED']
898512209294368768,['ZJ6ORi1xDe6N9qV']
747326172028035072,['geliankapustin3']
76002595,['mahtmillkin']
898585936254119937,['8YMjCRfm2v9Ot8C']
555074113,['marcelo_bento15']
902818258486784000,['4KTtlFQntAbFo4m']
784705934652280832,['baistudnshi29']
902799930334568452,['vac7UMBgK8ffwqD']
902781190289141765,['nzjMr09oWAFj1N0']
898578646868402176,['bSPV2PcL6EENf17']
898579733813895168,['yIJbQobyuIvni5E']
898582559449284608,['0ep0ZHA0Zi5g3Vo']
754235532482220032,['dodephisots']
898581281801457664,['cQbL8b6kuKcBHnq']
924280299697135619,['vovakuznetsov58']
1050023635317022721,['v4pY3dA0p77e4ny']
4585780421,['connorlisss']
747333393122136064,['romulustinov191']
30066098,['lydspilolo']
747300143897010180,['filadelfiyamur7']
928501137401004032,['daxingyang']
913223690317316096,['homerbros7780']
920524332622925825,['Aoben21Wohej']
788220973,['yaohede7171']
926816128206118913,['lady100002']
898519239056818177,['6M7Xx7Bokzjf4wV']
19963172,['yourspiritualm']
925545384922906624,['zhongqiuyue897']
