userid,count
1597435105,1323
1531801543,1089
1119875018387857408,685
1177039886051762176,473
335141638,462
1117583042686615552,410
1126649829931851776,400
1117582836750585856,397
1212700643669856256,294
1143395092452933632,260
216380704,251
1117580969744240640,240
1117581992936263680,237
1121470852179156992,236
1215890744776331264,230
163218527,228
255403033,226
1193799771997081600,225
1185018688732307456,218
273464147,216
380632777,210
1148627138226139136,208
1102333698102489088,207
1213050686440497152,204
1117583808931532800,204
2522887935,202
28679312,200
1145517309169025024,199
79225291,186
515726599,182
1960029534,181
3130827143,181
1190089397187858432,179
1173431025231265792,178
172142955,164
33496450,164
1628348773,163
196485327,162
104243951,161
1206007846627733504,161
400371126,160
1144991705957056512,156
19923144,155
73429309,155
2440622990,155
17695903,154
1206004936489586688,153
1218471192866115584,152
544572786,151
1206739537805791232,150
1615098439,150
1115874631,148
111479180,147
1143544908583755776,146
1146808222088671232,144
747458334,143
1179602149464068096,143
1188044395087618048,142
1165918695144615936,141
1157332851022389248,141
1126486822312275968,141
989251920610054144,139
1209743662537560064,138
855249931178659840,137
1212613257761943552,136
1203834586091917312,135
1145476417108553728,135
1181074557970472960,134
1187162794761699328,133
1185902350474592256,133
14740219,133
303862998,132
1675712330,131
1199862928809181184,131
1229577841706074112,130
1075744137792634880,130
1173423846679957504,129
1144660065573572608,128
1173579019830226944,128
1203728896790847488,127
1144980407034798080,125
1212175039316946944,122
1189432843014770688,122
1114761645279125504,122
1189434592853291008,122
88252232,122
314769591,119
1189442205850595328,118
1167879672690028544,117
2764268011,117
1173516775314472960,115
1129304536538071040,115
1229580490283216896,115
1146961915437932544,115
1164937093656862720,114
1100388241398583296,113
203835950,113
1049132220932182016,113
1075711822932500480,113
1207100074494287872,113
1243364925658918912,112
200744692,112
1173477533280399360,111
1629631062,110
1189439414440615936,110
1147069556906610688,110
2607366930,110
42950091,109
1146852842696773632,109
1243037922107899904,107
1123583954005700608,107
1193948070070902784,107
76144238,107
920469884689031168,106
1114335181043671040,106
1203760421947297792,106
1100379777821593600,105
1122517968603103232,105
1146928888540467200,105
1235883255959703552,104
870697061422735360,104
1139358527963533312,103
851574002,103
1202044376299515904,102
1193948936005996544,102
1193947545652867072,102
943411408615755776,102
2236410350,102
1175551884628676608,102
1213012816241709056,101
487118986,101
1191831885846061056,101
1144704677432430592,101
1215224964996952064,100
235804377,100
1130536618027360256,100
1188725235488456704,100
1130480591827361792,100
1178195453638139904,99
1215172971771256832,99
1065363455971024896,99
1146819277758091264,99
1193948874928541696,99
1179158475651330048,98
1176038762301669376,98
1230301898785226752,97
1191801264448901120,97
1245936689077317632,97
89168924,97
1199535422012919808,97
1240370976531120128,97
1126420521703239680,96
1146916335248650240,96
1186480933458890752,96
1126488661757849600,96
1215223721478111232,95
800024174,95
1177160592169328640,95
1186481800635396096,94
1179157774850244608,94
1245941170775060480,93
1179151749392805888,93
363144693,93
1172872000374804480,93
1079042380127395840,93
2423561534,93
2857285626,93
1148875800562655232,92
2784781347,92
1191801047859310592,92
1184888515416465408,92
1229749207034056704,92
931541378684899328,92
1168016346778656768,91
1190360350539075584,91
291680360,91
1167958168997154816,91
1189829253686317056,91
950588928481996800,90
2425059970,90
1189830610757570560,90
1170940140124037120,89
