userid,count
267090518,3985
1623332078,3359
835924615,2846
2200831522,2530
746787370016583680,2401
3226048586,2310
1347959689,2198
3251787546,2063
1688368537,1710
2601907824,1665
1259145763,1663
160878499,1646
701054891,1578
551031254,1555
2984633778,1468
813737850,1452
242308175,1447
747012363560304640,1414
1861476116,1401
613959345,1377
1189262274,1348
3044920575,1347
1648240988,1229
485971974,1216
2559186812,1112
269983028,1083
227312406,1080
339704710,1023
484174338,1003
1634262152,967
4056546551,964
2422603699,952
3010203754,948
1087456110,935
2330652436,934
465823879,921
850329309734502400,917
854563554,916
2492618978,914
2917896396,911
809380962,910
2261396598,907
814184706086498304,895
591736561,887
791328930053578752,883
611586089,883
815262932397211648,880
4649367379,876
3414838137,871
2501574724,853
2878526608,845
794667552706363392,840
2878629121,831
2710813662,830
3073444621,822
3066540708,819
4818527727,814
429994793,801
2957365016,798
1028263346,796
2949109051,781
478545315,772
2897781331,770
2334854421,769
592314798,769
474410244,759
551780243,752
1541970662,742
405142168,737
2491278164,737
2907753015,736
535554613,731
3971706793,730
2540547643,729
2928598926,728
2492810109,724
1176032185,724
2160489045,720
2159973855,714
2667514464,714
2517897067,714
728495126440448000,707
1242013434,706
277156133,696
2688655674,692
709127788,688
1679027509,687
2320788544,686
754864525363601408,683
369034226,683
2875455132,682
2884363328,650
1268156929,643
3192002333,640
806906922951655424,635
2649931135,633
3300591391,633
1675480188,632
720940186767638528,630
2941747488,624
2956200120,618
2167831703,617
2644207043,616
773082099276476416,615
446209473,605
2245153271,603
836064000,602
1566295292,600
3254113848,598
1909962163,598
721464268,591
703472756743131136,586
2844628998,586
2920908716,584
993746852649619456,584
2489861245,578
2953689702,569
812198048755552256,564
856576040,563
2916214054,558
261304554,557
2379701617,550
2667730946,548
381436583,543
3027261812,542
2245323300,537
4845691038,536
525795625,536
39164865,528
2657010912,521
927673579,519
725050766726168576,514
1181920668,510
602351481,503
2493465701,501
749168647910940672,501
850730495541260288,499
1208620675,497
2936226530,493
461897617,491
2552948402,487
885471860,481
764866459407384576,479
499971841,478
2764305343,476
303505903,472
717470050173771776,471
2864459907,469
3296566906,466
2949749802,465
1274378396,464
722905258771542016,464
833374229584297984,461
2207014683,461
3723998179,461
2491352880,458
2517122149,456
2219270140,456
2216539765,452
730242055037849600,448
46611904,447
